name,club,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing
Will Hughes,Watford,22,CM,2,8.0,258,5.0,0.60%,0,1.0,England,1,2,18,0,0
Lewis Cook,Bournemouth,20,CM,2,6.0,243,4.5,0.80%,17,1.0,England,0,1,2,0,0
Rolando Aarons,Newcastle+United,21,LW,1,0.75,170,4.5,0.10%,0,1.0,England,0,1,13,0,0
Adrian Mariappa,Watford,30,CB,3,1.0,201,4.0,5.40%,15,3.0,Jamaica,0,4,18,0,1
Gylfi Sigurdsson,Swansea,27,AM,1,25.0,861,8.5,8.70%,181,2.0,Iceland,0,3,16,0,0
Toby Alderweireld,Tottenham,28,CB,3,35.0,756,6.0,13.30%,120,2.0,Belgium,0,4,17,1,0
Ahmed Hegazy,West+Brom,26,CB,3,1.0,82,4.5,1.30%,0,4.0,Egypt,1,3,19,0,0
Costel Pantilimon,Watford,30,GK,4,3.0,268,4.5,0.20%,2,2.0,Romania,0,4,18,0,0
Diafra Sakho,West+Ham,27,CF,1,10.0,214,5.5,0.10%,12,4.0,Senegal,0,3,20,0,0
Jake Livermore,West+Brom,27,DM,2,7.0,564,5.0,0.20%,77,1.0,England,0,3,19,0,0
Nathan Dyer,Swansea,29,RW,1,3.5,313,4.5,0.10%,12,1.0,England,0,4,16,0,0
Pierre-Emile Hojbjerg,Southampton,21,CM,2,8.0,368,4.5,0.40%,38,2.0,Denmark,0,1,14,0,1
Gareth McAuley,West+Brom,37,CB,3,1.0,458,5.0,11.80%,131,2.0,Northern Ireland,0,6,19,0,0
Ciaran Clark,Newcastle+United,27,CB,3,5.0,273,4.5,0.90%,0,2.0,Ireland,0,3,13,0,0
Dwight Gayle,Newcastle+United,26,CF,1,10.0,1351,6.5,11.40%,0,1.0,England,0,3,13,0,0
Cedric Soares,Southampton,25,RB,3,15.0,338,5.0,16.40%,102,2.0,Portugal,0,3,14,0,0
Danny Welbeck,Arsenal,26,CF,1,15.0,1521,7.5,0.50%,37,1.0,England,0,3,1,1,0
Kelechi Iheanacho,Manchester+City,20,CF,1,15.0,1662,7.0,1.50%,52,4.0,Nigeria,0,1,11,1,0
Matt Phillips,West+Brom,26,RW,1,9.0,454,6.0,5.60%,115,2.0,Scotland,0,3,19,0,1
Michel Vorm,Tottenham,33,GK,4,4.0,252,5.0,0.10%,17,2.0,Netherlands,0,5,17,1,0
Shkodran Mustafi,Arsenal,25,CB,3,30.0,1877,5.5,4.00%,90,2.0,Germany,0,3,1,1,1
Pablo Zabaleta,West+Ham,32,RB,3,7.0,698,5.0,2.70%,45,3.0,Argentina,0,5,20,0,0
Phil Bardsley,Stoke+City,32,RB,3,1.5,365,4.5,0.00%,27,2.0,Scotland,0,5,15,0,0
Patrick van Aanholt,Crystal+Palace,26,LB,3,9.0,524,5.5,4.20%,98,2.0,Netherlands,0,3,6,0,0
Robert Huth,Leicester+City,32,CB,3,5.0,748,5.0,0.60%,88,2.0,Germany,0,5,9,0,0
Jon Gorenc Stankovic,Huddersfield,21,CB,3,0.5,83,4.0,1.10%,0,2.0,Slovenia,0,1,8,0,0
Eden Hazard,Chelsea,26,LW,1,75.0,4220,10.5,2.30%,224,2.0,Belgium,0,3,5,1,0
Alexis Sanchez,Arsenal,28,LW,1,65.0,4329,12.0,17.10%,264,3.0,Chile,0,4,1,1,0
Mauro Zarate,Watford,30,SS,1,2.0,473,5.5,0.00%,8,3.0,Argentina,0,4,18,0,0
Robbie Brady,Burnley,25,LM,2,10.0,614,5.5,0.40%,39,2.0,Ireland,0,3,4,0,0
Niki Maenpaa,Brighton+and+Hove,32,GK,4,0.25,103,4.0,2.10%,0,2.0,Finland,0,5,3,0,0
Tom Carroll,Swansea,25,CM,2,6.0,432,4.5,4.30%,52,1.0,England,0,3,16,0,0
Laurent Koscielny,Arsenal,31,CB,3,22.0,912,6.0,0.70%,121,2.0,France,0,4,1,1,0
Antonio Valencia,Manchester+United,31,RB,3,10.0,1561,6.5,6.20%,120,3.0,Ecuador,0,4,12,1,0
Nathaniel Chalobah,Watford,22,DM,2,5.0,977,4.5,2.30%,12,1.0,England,0,2,18,0,0
Fraser Forster,Southampton,29,GK,4,15.0,548,5.0,7.30%,134,1.0,England,0,4,14,0,0
Adrian,West+Ham,30,GK,4,8.0,266,4.5,0.80%,64,2.0,Spain,0,4,20,0,0
Glenn Whelan,Stoke+City,33,DM,2,2.5,182,4.5,0.40%,62,2.0,Ireland,0,5,15,0,0
Florian Lejeune,Newcastle+United,26,CB,3,5.0,65,4.5,1.00%,0,2.0,France,0,3,13,0,0
Steven Defour,Burnley,29,CM,2,6.0,336,5.5,0.20%,54,2.0,Belgium,0,4,4,0,1
Jamie Murphy,Brighton+and+Hove,27,LW,1,1.75,114,5.0,0.10%,0,2.0,Scotland,0,3,3,0,0
James McArthur,Crystal+Palace,29,CM,2,7.0,216,4.5,10.90%,93,2.0,Scotland,0,4,6,0,0
Raheem Sterling,Manchester+City,22,LW,1,45.0,2074,8.0,3.80%,149,1.0,England,0,2,11,1,0
Jack Colback,Newcastle+United,27,DM,2,5.0,181,4.5,1.10%,0,1.0,England,0,3,13,0,0
Alex Oxlade-Chamberlain,Arsenal,23,RM,2,22.0,1519,6.0,1.80%,83,1.0,England,0,2,1,1,0
Lucas Leiva,Liverpool,30,DM,2,7.0,998,4.5,0.30%,47,3.0,Brazil,0,4,10,1,0
Charlie Austin,Southampton,28,CF,1,13.0,874,6.5,2.10%,62,1.0,England,0,4,14,0,0
Leroy Sane,Manchester+City,21,LW,1,35.0,2302,8.5,8.80%,105,2.0,Germany,0,1,11,1,1
Cesc Fabregas,Chelsea,30,CM,2,35.0,2378,7.0,7.50%,121,2.0,Spain,0,4,5,1,0
Junior Stanislas,Bournemouth,27,LW,1,4.5,315,6.0,0.60%,107,1.0,England,0,3,2,0,0
Callum Wilson,Bournemouth,25,CF,1,10.0,337,6.0,0.20%,63,1.0,England,0,3,2,0,0
Paul Pogba,Manchester+United,24,CM,2,75.0,7435,8.0,19.50%,115,2.0,France,0,2,12,1,1
Anthony Martial,Manchester+United,21,CF,1,30.0,2430,8.0,0.60%,95,2.0,France,0,1,12,1,0
Mark Noble,West+Ham,30,CM,2,7.0,425,5.5,0.10%,71,1.0,England,0,4,20,0,0
